Model Name,Action,Source File,Target File,Score,Top 3 Candidates,Message
Man-O-War Kovnik,COPIED,portrait khador man o war kovnik.png,Man-O-War Kovnik.png,100,portrait khador man o war kovnik.png (100) | portrait khador man o war demolition corps.png (75) | portrait khador man o war shocktrooper officer.png (75),'portrait khador man o war kovnik.png' → 'Man-O-War Kovnik.png'  (score 100)
Man-O-War Strike Tanker,COPIED,portrait khador man o war strike tanker.png,Man-O-War Strike Tanker.png,100,portrait khador man o war strike tanker.png (100) | portrait khador man o war suppression tanker.png (82) | portrait khador man o war siege chariot.png (70),'portrait khador man o war strike tanker.png' → 'Man-O-War Strike Tanker.png'  (score 100)
Man-O-War Suppression Tanker,COPIED,portrait khador man o war suppression tanker.png,Man-O-War Suppression Tanker.png,100,portrait khador man o war suppression tanker.png (100) | portrait khador man-o-war suppressors.png (82) | portrait khador man o war strike tanker.png (78),'portrait khador man o war suppression tanker.png' → 'Man-O-War Suppression Tanker.png'  (score 100)
Battle Mechaniks,COPIED,portrait khador battle mechaniks.png,Battle Mechaniks.png,100,portrait khador battle mechaniks.png (100) | portrait khador battle mechanik.png (97) | portrait khador battle mechanik officer.png (94),'portrait khador battle mechaniks.png' → 'Battle Mechaniks.png'  (score 100)
Kommandant Atanas Arconovich & Standard,COPIED,portrait khador kommandant atanas arconovich & standard.png,Kommandant Atanas Arconovich & Standard.png,100,portrait khador kommandant atanas arconovich & standard.png (100) | portrait legion captain farilor & standard.png (65) | portrait skorne praetorian karax officer & standard.png (61),'portrait khador kommandant atanas arconovich & standard.png' → 'Kommandant Atanas Arconovich & Standard.png'  (score 100)
Man-O-War Bombardiers,COPIED,portrait khador man o war bombardiers.png,Man-O-War Bombardiers.png,100,portrait khador man o war bombardiers.png (100) | portrait khador man o war bombardier officer.png (95) | option khador dire wolf right arm bombard.png (67),'portrait khador man o war bombardiers.png' → 'Man-O-War Bombardiers.png'  (score 100)
Man-O-War Demolition Korps,COPIED,portrait khador man o war demolition corps.png,Man-O-War Demolition Korps.png,96,portrait khador man o war demolition corps.png (96) | portrait khador man o war shocktroopers.png (65) | portrait khador man o war kovnik.png (62),'portrait khador man o war demolition corps.png' → 'Man-O-War Demolition Korps.png'  (score 96)
Man-O-War Shocktroopers,COPIED,portrait khador man o war shocktroopers.png,Man-O-War Shocktroopers.png,100,portrait khador man o war shocktroopers.png (100) | portrait khador man o war shocktrooper officer.png (96) | portrait khador shocktrooper pikeman.png (74),'portrait khador man o war shocktroopers.png' → 'Man-O-War Shocktroopers.png'  (score 100)
"Kyrrax, the Unrelenting Night",COPIED,portrait khymaera kyrrax the unrelenting night.png,"Kyrrax, the Unrelenting Night.png",100,portrait khymaera kyrrax the unrelenting night.png (100) | Cryx_The-Furies.png (67) | portrait infernals valin hauke the fallen knight.png (61),"'portrait khymaera kyrrax the unrelenting night.png' → 'Kyrrax, the Unrelenting Night.png'  (score 100)"
"Lylyth, the Raven Vengeance",COPIED,portrait retribution garryth eye of vengeance.png,"Lylyth, the Raven Vengeance.png",68,portrait retribution garryth eye of vengeance.png (68) | portrait trollblood borka vengeance of the rimeshaws.png (67) | portrait protectorate nicia tear of vengeance.png (62),"'portrait retribution garryth eye of vengeance.png' → 'Lylyth, the Raven Vengeance.png'  (score 68)"
"Nyxyan, the Stygian Coil",COPIED,portrait khymaera nyxyan the stygian coil.png,"Nyxyan, the Stygian Coil.png",100,portrait khymaera nyxyan the stygian coil.png (100) | portrait cygnar lieutenant bastian falk.png (59) | Cryx_The-Furies.png (57),"'portrait khymaera nyxyan the stygian coil.png' → 'Nyxyan, the Stygian Coil.png'  (score 100)"
"Rassyk, Spawn of Shadows",COPIED,portrait khymaera rassyk spawn of shadows.png,"Rassyk, Spawn of Shadows.png",100,portrait khymaera rassyk spawn of shadows.png (100) | portrait infernals zaateroth the weaver of shadows.png (67) | Khador_Dawn.png (59),"'portrait khymaera rassyk spawn of shadows.png' → 'Rassyk, Spawn of Shadows.png'  (score 100)"
"Shyryss, the Flawless Dark",COPIED,portrait khymaera shyryss the flawless dark.png,"Shyryss, the Flawless Dark.png",100,portrait khymaera shyryss the flawless dark.png (100) | portrait dusk dyssiss the eye of darkness.png (58) | Cryx_The-Furies.png (55),"'portrait khymaera shyryss the flawless dark.png' → 'Shyryss, the Flawless Dark.png'  (score 100)"
"Vallyx, Fate's Eclipse",NO_MATCH,,"Vallyx, Fate's Eclipse.png",56,TestModel.png (56) | portrait grymkin zevanna agha the fate keeper.png (53) | portrait trollblood grissel bloodsong marshal of the kriels.png (53),Best candidate 'TestModel.png' scored 56 (below threshold 60)
Aklyss,COPIED,portrait-khymaera-aklyss.png,Aklyss.png,100,portrait-khymaera-aklyss.png (100) | portrait dusk vaelyss the hand of mourning.png (83) | portrait retribution kaelyssa the nights whisper.png (83),'portrait-khymaera-aklyss.png' → 'Aklyss.png'  (score 100)
Drakyon,COPIED,portrait khymaera drakyon.png,Drakyon.png,100,portrait khymaera drakyon.png (100) | portrait minions boil master & spirit cauldron.png (73) | portrait crucible dragons breath rocket.png (71),'portrait khymaera drakyon.png' → 'Drakyon.png'  (score 100)
Hydrix,COPIED,option khymaera hydrix back spineback.png,Hydrix.png,100,option khymaera hydrix back spineback.png (100) | option khymaera hydrix back bladeback.png (100) | option khymaera hydrix back wings.png (100),'option khymaera hydrix back spineback.png' → 'Hydrix.png'  (score 100)
"Skylla, the Abyssal Fury",COPIED,Kriels_Abyssal-King.png,"Skylla, the Abyssal Fury.png",61,Kriels_Abyssal-King.png (61) | portrait infernals nicia hound of the abyss.png (59) | Dusk_Lanyssa-Ryssyl.png (56),"'Kriels_Abyssal-King.png' → 'Skylla, the Abyssal Fury.png'  (score 61)"
Trikhymaerax,COPIED,portrait-khymaera-trikhymaerax.png,Trikhymaerax.png,100,portrait-khymaera-trikhymaerax.png (100) | Khymaera_Lylyth.png (80) | option khymaera hydrix back spineback.png (75),'portrait-khymaera-trikhymaerax.png' → 'Trikhymaerax.png'  (score 100)
Vypex,COPIED,option khymaera vypex arms cleavers.png,Vypex.png,100,option khymaera vypex arms cleavers.png (100) | option khymaera vypex arms impalers.png (100) | option khymaera vypex head asp.png (100),'option khymaera vypex arms cleavers.png' → 'Vypex.png'  (score 100)
Wyvern,COPIED,portrait khymaera wyvern.png,Wyvern.png,100,portrait khymaera wyvern.png (100) | CG_Syvestro.png (67) | Cryx_Drudge-Slayer2.png (67),'portrait khymaera wyvern.png' → 'Wyvern.png'  (score 100)
Incarnate Conjuror,COPIED,portrait khymaera incarnate conjuror.png,Incarnate Conjuror.png,100,portrait khymaera incarnate conjuror.png (100) | portrait convergence eminent configurator orion.png (67) | portrait khymaera incarnate knights.png (67),'portrait khymaera incarnate conjuror.png' → 'Incarnate Conjuror.png'  (score 100)
Pythia,COPIED,portrait-khymaera-pythia.png,Pythia.png,100,portrait-khymaera-pythia.png (100) | portrait-gravediggers-cynthiarosko.png (83) | Orgoth_Anathia.png (80),'portrait-khymaera-pythia.png' → 'Pythia.png'  (score 100)
Regulus,COPIED,portrait-khymaera-regulus.png,Regulus.png,100,portrait-khymaera-regulus.png (100) | portrait circle wild argus.png (73) | portrait circle winter argus.png (73),'portrait-khymaera-regulus.png' → 'Regulus.png'  (score 100)
"Ryvyn, the Onyx Rampant",COPIED,portrait khymaera ryvyn the onyx rampart.png,"Ryvyn, the Onyx Rampant.png",93,portrait khymaera ryvyn the onyx rampart.png (93) | Cryx_Raptor.png (67) | portrait circle krueger the stormwrath.png (56),"'portrait khymaera ryvyn the onyx rampart.png' → 'Ryvyn, the Onyx Rampant.png'  (score 93)"
Shadowmancer Scion,COPIED,portrait khymaera shadowmancer scion.png,Shadowmancer Scion.png,100,portrait khymaera shadowmancer scion.png (100) | portrait khymaera wyrmspine shadowmancers.png (84) | portrait khador kommander sorscha.png (67),'portrait khymaera shadowmancer scion.png' → 'Shadowmancer Scion.png'  (score 100)
Spinner,COPIED,portrait khymaera spinner.png,Spinner.png,100,portrait khymaera spinner.png (100) | portrait trollblood trollkin skinner.png (86) | option cryx malefactor right arm spiker.png (77),'portrait khymaera spinner.png' → 'Spinner.png'  (score 100)
Wraithwing Paragon,COPIED,portrait khymaera wraithwing paragon.png,Wraithwing Paragon.png,100,portrait khymaera wraithwing paragon.png (100) | portrait cryx wraithbinder nekane.png (61) | portrait grymkin baron tonguelick lord of warts.png (61),'portrait khymaera wraithwing paragon.png' → 'Wraithwing Paragon.png'  (score 100)
Incarnate Knights,COPIED,portrait khymaera incarnate knights.png,Incarnate Knights.png,100,portrait khymaera incarnate knights.png (100) | portrait cryx bane knights.png (79) | portrait protectorate knights exemplar officer.png (76),'portrait khymaera incarnate knights.png' → 'Incarnate Knights.png'  (score 100)
Quick Fang Stalkers,COPIED,portrait khymaera quick fang stalker.png,Quick Fang Stalkers.png,97,portrait khymaera quick fang stalker.png (97) | portrait khymaera quick fang master.png (83) | portrait khymaera quick fang wind striker.png (74),'portrait khymaera quick fang stalker.png' → 'Quick Fang Stalkers.png'  (score 97)
Quick Fang Wind Strikers,COPIED,portrait khymaera quick fang wind striker.png,Quick Fang Wind Strikers.png,98,portrait khymaera quick fang wind striker.png (98) | portrait khymaera quick fang stalker.png (76) | portrait khymaera quick fang master.png (73),'portrait khymaera quick fang wind striker.png' → 'Quick Fang Wind Strikers.png'  (score 98)
Shades,COPIED,portrait cryx hades.png,Shades.png,91,portrait cryx hades.png (91) | portrait-khymaera-shade3.png (91) | portrait cryx goreshade lord of ruin.png (83),'portrait cryx hades.png' → 'Shades.png'  (score 91)
Talon Death Dealers,COPIED,portrait khymaera talon death dealer.png,Talon Death Dealers.png,97,portrait khymaera talon death dealer.png (97) | portrait khymaera talon lashers.png (69) | portrait circle death wolves.png (65),'portrait khymaera talon death dealer.png' → 'Talon Death Dealers.png'  (score 97)
