Model Name,Action,Source File,Target File,Score,Top 3 Candidates,Message
Discerptor Eviscerus,COPIED,Cryx_Eviscerus.png,Discerptor Eviscerus.png,88,Cryx_Eviscerus.png (88) | portrait protectorate grand scrutator severius.png (70) | portrait protectorate vice scrutator vindictus.png (62),'Cryx_Eviscerus.png' → 'Discerptor Eviscerus.png'  (score 88)
Exulon Khythos,COPIED,portrait-cryx-exulonkythos.png,Exulon Khythos.png,92,portrait-cryx-exulonkythos.png (92) | Cryx_Exulon-Thexus.png (74) | portrait mercenary exulon thexus.png (74),'portrait-cryx-exulonkythos.png' → 'Exulon Khythos.png'  (score 92)
Lich Lord Dekathus,COPIED,portrait cryx lich lord dekathus.png,Lich Lord Dekathus.png,100,portrait cryx lich lord dekathus.png (100) | portrait cryx lich lord terminus.png (72) | portrait cryx lich lord venethrax.png (72),'portrait cryx lich lord dekathus.png' → 'Lich Lord Dekathus.png'  (score 100)
Master Necrosurgeon Sepsira,COPIED,Cryx_Necrosurgeon-Initiates.png,Master Necrosurgeon Sepsira.png,70,Cryx_Necrosurgeon-Initiates.png (70) | portrait cryx necrosurgeon & stitch thralls.png (70) | portrait cryx master necrotech mortenebra.png (67),'Cryx_Necrosurgeon-Initiates.png' → 'Master Necrosurgeon Sepsira.png'  (score 70)
Mortenebra Perfected,COPIED,portrait_cryx_mortenebra_perfected.png,Mortenebra Perfected.png,100,portrait_cryx_mortenebra_perfected.png (100) | portrait cryx master necrotech mortenebra.png (67) | portrait cryx mortenebra numen of necrogenesis.png (67),'portrait_cryx_mortenebra_perfected.png' → 'Mortenebra Perfected.png'  (score 100)
Wraithbinder Nekane,COPIED,portrait cryx wraithbinder nekane.png,Wraithbinder Nekane.png,100,portrait cryx wraithbinder nekane.png (100) | portrait infernals infernal gate.png (63) | portrait cryx wraith engine.png (62),'portrait cryx wraithbinder nekane.png' → 'Wraithbinder Nekane.png'  (score 100)
Deathjack,COPIED,Cryx_Deathjack1.png,Deathjack.png,100,Cryx_Deathjack1.png (100) | portrait cryx deathjack.png (100) | portrait cryx karchev & deathjack.png (100),'Cryx_Deathjack1.png' → 'Deathjack.png'  (score 100)
Grendel,COPIED,option cryx grendel head grendel.png,Grendel.png,100,option cryx grendel head grendel.png (100) | option cryx grendel left arm salvage ripper.png (100) | option cryx grendel right arm salvage ripper.png (100),'option cryx grendel head grendel.png' → 'Grendel.png'  (score 100)
Hades,COPIED,portrait cryx hades.png,Hades.png,100,portrait cryx hades.png (100) | portrait legion strider blightblades.png (89) | portrait trollblood trollkin fennblades.png (89),'portrait cryx hades.png' → 'Hades.png'  (score 100)
Hellraker,COPIED,Cryx_Hellraker.png,Hellraker.png,100,Cryx_Hellraker.png (100) | Cryx_Hellraker_Voidplate.png (100) | Cryx_Hellraker-alt-head.png (100),'Cryx_Hellraker.png' → 'Hellraker.png'  (score 100)
Malefactor,COPIED,option cryx malefactor head berserk.png,Malefactor.png,100,option cryx malefactor head berserk.png (100) | option cryx malefactor head dark shroud.png (100) | option cryx malefactor head overtake.png (100),'option cryx malefactor head berserk.png' → 'Malefactor.png'  (score 100)
Raptor,COPIED,Cryx_Raptor.png,Raptor.png,100,Cryx_Raptor.png (100) | option cryx raptor back arc node.png (100) | option cryx raptor back heavier armor.png (100),'Cryx_Raptor.png' → 'Raptor.png'  (score 100)
Malfessor,COPIED,portrait-cryx-malfessor.png,Malfessor.png,100,portrait-cryx-malfessor.png (100) | portrait crucible suppressor.png (71) | portrait khador man-o-war suppressors.png (67),'portrait-cryx-malfessor.png' → 'Malfessor.png'  (score 100)
Akulon Thaemestra,COPIED,portrait-cryx-akulonthaemestra.png,Akulon Thaemestra.png,97,portrait-cryx-akulonthaemestra.png (97) | portrait retribution hemera.png (69) | portrait skorne zaal the ancestral advocate.png (65),'portrait-cryx-akulonthaemestra.png' → 'Akulon Thaemestra.png'  (score 97)
Iron Lich Commander,COPIED,portrait cryx iron lich commander.png,Iron Lich Commander.png,100,portrait cryx iron lich commander.png (100) | portrait cryx skarlock commander.png (76) | portrait retribution mage hunter strike force commander.png (75),'portrait cryx iron lich commander.png' → 'Iron Lich Commander.png'  (score 100)
Machine Wraith Dominator,COPIED,Cryx_Machine-Wraith-Dominator.png,Machine Wraith Dominator.png,100,Cryx_Machine-Wraith-Dominator.png (100) | Cryx_Dominator.png (83) | portrait cryx machine wraith.png (74),'Cryx_Machine-Wraith-Dominator.png' → 'Machine Wraith Dominator.png'  (score 100)
Master Necrotech Chatterbane,COPIED,portrait cryx master necrotech chatterbane.png,Master Necrotech Chatterbane.png,100,portrait cryx master necrotech chatterbane.png (100) | portrait cryx master necrotech mortenebra.png (76) | portrait cryx necrotech.png (67),'portrait cryx master necrotech chatterbane.png' → 'Master Necrotech Chatterbane.png'  (score 100)
Necroharvester,COPIED,Cryx_Necroharvester.png,Necroharvester.png,100,Cryx_Necroharvester.png (100) | portrait grymkin isaiah dread harvester.png (78) | portrait circle bradigus thorle the runecarver.png (73),'Cryx_Necroharvester.png' → 'Necroharvester.png'  (score 100)
Silexus Xiphus,COPIED,portrait-cryx-silexusxiphus.png,Silexus Xiphus.png,96,portrait-cryx-silexusxiphus.png (96) | portrait minions maximus.png (54) | portrait circle wurmwood & cassius.png (53),'portrait-cryx-silexusxiphus.png' → 'Silexus Xiphus.png'  (score 96)
Skarlock Lieutenant,COPIED,Cryx_Skarlock-Lieutenant.png,Skarlock Lieutenant.png,100,Cryx_Skarlock-Lieutenant.png (100) | portrait cygnar trencher warcaster lieutenant.png (77) | portrait cygnar journeyman lieutenant allister caine.png (69),'Cryx_Skarlock-Lieutenant.png' → 'Skarlock Lieutenant.png'  (score 100)
Criterions,COPIED,portrait-cryx-criterions.png,Criterions.png,100,portrait-cryx-criterions.png (100) | portrait convergence forge master syntherion.png (71) | portrait cryx vociferon.png (71),'portrait-cryx-criterions.png' → 'Criterions.png'  (score 100)
Mechanithrall Brutes,COPIED,portrait cryx mechanithrall brute.png,Mechanithrall Brutes.png,97,portrait cryx mechanithrall brute.png (97) | portrait cryx mechanithralls.png (82) | Cryx_Mechanithralls.png (81),'portrait cryx mechanithrall brute.png' → 'Mechanithrall Brutes.png'  (score 97)
Mechanithrall Swarm,COPIED,Cryx_Mechanithralls.png,Mechanithrall Swarm.png,85,Cryx_Mechanithralls.png (85) | portrait cryx mechanithralls.png (85) | portrait cryx mechanithrall brute.png (81),'Cryx_Mechanithralls.png' → 'Mechanithrall Swarm.png'  (score 85)
Necrosurgeon Initiates,COPIED,Cryx_Necrosurgeon-Initiates.png,Necrosurgeon Initiates.png,100,Cryx_Necrosurgeon-Initiates.png (100) | portrait cryx necrosurgeon & stitch thralls.png (73) | portrait protectorate initiate tristan durant.png (68),'Cryx_Necrosurgeon-Initiates.png' → 'Necrosurgeon Initiates.png'  (score 100)
Night Terrors,COPIED,portrait cryx night terrors.png,Night Terrors.png,100,portrait cryx night terrors.png (100) | portrait trollblood night troll.png (75) | portrait grymkin twilight sisters.png (72),'portrait cryx night terrors.png' → 'Night Terrors.png'  (score 100)
Sludge Thralls,COPIED,portrait cryx sludge thrall.png,Sludge Thralls.png,96,portrait cryx sludge thrall.png (96) | portrait cryx bile thralls.png (83) | portrait cryx brute thrall.png (75),'portrait cryx sludge thrall.png' → 'Sludge Thralls.png'  (score 96)
The Furies,COPIED,Cryx_The-Furies.png,The Furies.png,100,Cryx_The-Furies.png (100) | portrait trollblood borka vengeance of the rimeshaws.png (80) | portrait trollblood grissel bloodsong marshal of the kriels.png (80),'Cryx_The-Furies.png' → 'The Furies.png'  (score 100)
Carver Ultimus,COPIED,portrait mercenary carver ultimus.png,Carver Ultimus.png,100,portrait mercenary carver ultimus.png (100) | portrait cryx lord exhumator scaverous.png (64) | portrait minions lord carver bmmd esq iii.png (64),'portrait mercenary carver ultimus.png' → 'Carver Ultimus.png'  (score 100)
Exulon Nostilla,COPIED,Merc_Exulon-Nostilla.png,Exulon Nostilla.png,100,Merc_Exulon-Nostilla.png (100) | portrait-cryx-exulonkythos.png (59) | Cryx_Exulon-Thexus.png (57),'Merc_Exulon-Nostilla.png' → 'Exulon Nostilla.png'  (score 100)
Magnus the Unstoppable,COPIED,portrait mercenary magnus the unstoppable.png,Magnus the Unstoppable.png,100,portrait mercenary magnus the unstoppable.png (100) | portrait mercenary magnus the traitor.png (65) | portrait mercenary magnus the warlord.png (65),'portrait mercenary magnus the unstoppable.png' → 'Magnus the Unstoppable.png'  (score 100)
"Maulgreth, The Charnel Plague",COPIED,portrait mercenary maulgreth the charnel plague.png,"Maulgreth, The Charnel Plague.png",100,portrait mercenary maulgreth the charnel plague.png (100) | Orgoth_Charnel-Hound.png (63) | option cryx malefactor right arm plague cannon.png (59),"'portrait mercenary maulgreth the charnel plague.png' → 'Maulgreth, The Charnel Plague.png'  (score 100)"
Captain Athena di Baro,COPIED,portrait cygnar captain athena di baro.png,Captain Athena di Baro.png,100,portrait cygnar captain athena di baro.png (100) | portrait mercenary colbie sterling captain of the bri.png (70) | portrait cygnar captain e dominic darius.png (68),'portrait cygnar captain athena di baro.png' → 'Captain Athena di Baro.png'  (score 100)
Captain Madison Calder,COPIED,portrait cygnar captain madison calder.png,Captain Madison Calder.png,100,portrait cygnar captain madison calder.png (100) | portrait cygnar captain allison jakes.png (74) | portrait cygnar captain allister caine.png (68),'portrait cygnar captain madison calder.png' → 'Captain Madison Calder.png'  (score 100)
Captain Raef Huxley,COPIED,portrait cygnar captain raef huxley.png,Captain Raef Huxley.png,100,portrait cygnar captain raef huxley.png (100) | portrait mercenary captain rahera terror of the wailing sea.png (68) | portrait southern kriels captain firequill.png (67),'portrait cygnar captain raef huxley.png' → 'Captain Raef Huxley.png'  (score 100)
Major Allister Caine,COPIED,Khador_Allister-Caine.png,Major Allister Caine.png,92,Khador_Allister-Caine.png (92) | portrait cygnar captain allister caine.png (86) | portrait cygnar journeyman lieutenant allister caine.png (86),'Khador_Allister-Caine.png' → 'Major Allister Caine.png'  (score 92)
Major Anson Wolfe,COPIED,portrait cygnar major anson wolfe.png,Major Anson Wolfe.png,100,portrait cygnar major anson wolfe.png (100) | option khador mastodon left arm deep freezer.png (65) | option khador mastodon left arm dozer.png (65),'portrait cygnar major anson wolfe.png' → 'Major Anson Wolfe.png'  (score 100)
Mechanik Adept Sparkhammer,COPIED,portrait cygnar adept figmund sparkhammer.png,Mechanik Adept Sparkhammer.png,79,portrait cygnar adept figmund sparkhammer.png (79) | merc_gorman3.png (59) | portrait mercenary durgen madhammer.png (58),'portrait cygnar adept figmund sparkhammer.png' → 'Mechanik Adept Sparkhammer.png'  (score 79)
Borealis,COPIED,Cygnar_Borealis.png,Borealis.png,100,Cygnar_Borealis.png (100) | Khador_Allister-Caine.png (75) | portrait skorne immortals.png (71),'Cygnar_Borealis.png' → 'Borealis.png'  (score 100)
Courser,COPIED,option cygnar courser head advance deployment.png,Courser.png,100,option cygnar courser head advance deployment.png (100) | option cygnar courser head arc node.png (100) | option cygnar courser head dodge.png (100),'option cygnar courser head advance deployment.png' → 'Courser.png'  (score 100)
Deuce,COPIED,Cygnar_Deuce-Warjack.png,Deuce.png,100,Cygnar_Deuce-Warjack.png (100) | portrait mercenary black bella duchess of dread.png (80) | Cryx_Subduer.png (67),'Cygnar_Deuce-Warjack.png' → 'Deuce.png'  (score 100)
Maelstrom,COPIED,Cygnar_Maelstrom.png,Maelstrom.png,100,Cygnar_Maelstrom.png (100) | CG_Syvestro.png (71) | portrait crucible aurum adeptus syvestro.png (71),'Cygnar_Maelstrom.png' → 'Maelstrom.png'  (score 100)
Stryker,COPIED,option cygnar stryker head advanced optics.png,Stryker.png,100,option cygnar stryker head advanced optics.png (100) | option cygnar stryker head overtake.png (100) | option cygnar stryker head plasma nimbus.png (100),'option cygnar stryker head advanced optics.png' → 'Stryker.png'  (score 100)
The General,COPIED,option cygnar the general head the general.png,The General.png,100,option cygnar the general head the general.png (100) | option cygnar the general left arm polarity fist.png (100) | option cygnar the general right arm quicksilver mk III.png (100),'option cygnar the general head the general.png' → 'The General.png'  (score 100)
"Thunderhead, Heart of the Storm",COPIED,Cygnar_Thunderhead.png,"Thunderhead, Heart of the Storm.png",76,Cygnar_Thunderhead.png (76) | portrait cygnar thunderhead.png (67) | portrait protectorate allegiant of the order of the fist.png (65),"'Cygnar_Thunderhead.png' → 'Thunderhead, Heart of the Storm.png'  (score 76)"
Captain Bastian Falk,COPIED,Cygnar_Captain-Bastian-Falk.png,Captain Bastian Falk.png,100,Cygnar_Captain-Bastian-Falk.png (100) | portrait cygnar lieutenant bastian falk.png (83) | portrait cygnar captain allison jakes.png (70),'Cygnar_Captain-Bastian-Falk.png' → 'Captain Bastian Falk.png'  (score 100)
Legionnaire Officer,COPIED,portrait cygnar legionnaire officer.png,Legionnaire Officer.png,100,portrait cygnar legionnaire officer.png (100) | portrait cygnar legionnaire standard bearer.png (73) | portrait cygnar trencher long gunner officer.png (73),'portrait cygnar legionnaire officer.png' → 'Legionnaire Officer.png'  (score 100)
Lieutenant Sara Brisbane,COPIED,portrait cygnar lieutenant sara brisbane.png,Lieutenant Sara Brisbane.png,100,portrait cygnar lieutenant sara brisbane.png (100) | Cryx_Skarlock-Lieutenant.png (67) | portrait cygnar journeyman lieutenant allister caine.png (67),'portrait cygnar lieutenant sara brisbane.png' → 'Lieutenant Sara Brisbane.png'  (score 100)
Sharpshooter,COPIED,portrait cygnar sharpshooter.png,Sharpshooter.png,100,portrait cygnar sharpshooter.png (100) | portrait khador sharpshooters.png (100) | Cryx_Necroharvester.png (67),'portrait cygnar sharpshooter.png' → 'Sharpshooter.png'  (score 100)
Specialist Tyson Vas,COPIED,portrait cygnar tyson vas.png,Specialist Tyson Vas.png,69,portrait cygnar tyson vas.png (69) | portrait skorne kovaas.png (59) | portrait cygnar captain allison jakes.png (56),'portrait cygnar tyson vas.png' → 'Specialist Tyson Vas.png'  (score 69)
Weather Station,COPIED,portrait cygnar weather station.png,Weather Station.png,100,portrait cygnar weather station.png (100) | Merc_Abberation.png (64) | portrait convergence forge master syntherion.png (64),'portrait cygnar weather station.png' → 'Weather Station.png'  (score 100)
Zephyr,COPIED,portrait cygnar zephyr.png,Zephyr.png,100,portrait cygnar zephyr.png (100) | option cygnar stryker left arm storm blazer.png (67) | option khador great bear left arm dozer.png (67),'portrait cygnar zephyr.png' → 'Zephyr.png'  (score 100)
Arcane Mechaniks,COPIED,portrait mercenary arcane mechaniks.png,Arcane Mechaniks.png,100,portrait mercenary arcane mechaniks.png (100) | portrait cygnar arcane mechanik.png (97) | portrait khador battle mechaniks.png (81),'portrait mercenary arcane mechaniks.png' → 'Arcane Mechaniks.png'  (score 100)
Storm Callers,COPIED,portrait cygnar storm caller.png,Storm Callers.png,96,portrait cygnar storm caller.png (96) | portrait cygnar stormsmith stormcaller.png (92) | portrait cygnar storm chaser finch.png (77),'portrait cygnar storm caller.png' → 'Storm Callers.png'  (score 96)
Storm Lance Legionnaires,COPIED,portrait cygnar storm lance legionnaires.png,Storm Lance Legionnaires.png,100,portrait cygnar storm lance legionnaires.png (100) | portrait cygnar stormblade legionnaires.png (89) | portrait cygnar stormguard legionnaires.png (81),'portrait cygnar storm lance legionnaires.png' → 'Storm Lance Legionnaires.png'  (score 100)
Storm Vanes,COPIED,portrait cygnar storm vane.png,Storm Vanes.png,95,portrait cygnar storm vane.png (95) | portrait cygnar storm lance legionnaires.png (82) | portrait cygnar storm lances.png (82),'portrait cygnar storm vane.png' → 'Storm Vanes.png'  (score 95)
Stormblade Legionnaires,COPIED,portrait cygnar stormblade legionnaires.png,Stormblade Legionnaires.png,100,portrait cygnar stormblade legionnaires.png (100) | portrait cygnar storm lance legionnaires.png (87) | portrait cygnar stormguard legionnaires.png (87),'portrait cygnar stormblade legionnaires.png' → 'Stormblade Legionnaires.png'  (score 100)
Stormguard Legionnaires,COPIED,portrait cygnar stormguard legionnaires.png,Stormguard Legionnaires.png,100,portrait cygnar stormguard legionnaires.png (100) | portrait cygnar stormblade legionnaires.png (87) | portrait cygnar storm lance legionnaires.png (78),'portrait cygnar stormguard legionnaires.png' → 'Stormguard Legionnaires.png'  (score 100)
Stormthrower Legionnaires,COPIED,portrait cygnar stormthrower legionnaires.png,Stormthrower Legionnaires.png,100,portrait cygnar stormthrower legionnaires.png (100) | portrait cygnar stormblade legionnaires.png (79) | portrait cygnar stormguard legionnaires.png (79),'portrait cygnar stormthrower legionnaires.png' → 'Stormthrower Legionnaires.png'  (score 100)
Tempest Assailers,COPIED,portrait cygnar tempest assailers.png,Tempest Assailers.png,100,portrait cygnar tempest assailers.png (100) | portrait cygnar tempest blazers.png (75) | portrait cygnar arcane tempest rifleman.png (67),'portrait cygnar tempest assailers.png' → 'Tempest Assailers.png'  (score 100)
Tempest Thunderers,COPIED,Cygnar_Tempest-Thunderers.png,Tempest Thunderers.png,100,Cygnar_Tempest-Thunderers.png (100) | portrait cygnar tempest thunderer.png (97) | portrait cygnar arcane tempest gun mages.png (69),'Cygnar_Tempest-Thunderers.png' → 'Tempest Thunderers.png'  (score 100)
The Black 13th,COPIED,Cygnar_Black13th.png,The Black 13th.png,83,Cygnar_Black13th.png (83) | Cygnar_Black13th-2.png (83) | Cygnar_Black13th-3.png (83),'Cygnar_Black13th.png' → 'The Black 13th.png'  (score 83)
"Alexia, Queen of the Damned",COPIED,portrait mercenary alexia queen of the damned.png,"Alexia, Queen of the Damned.png",100,portrait mercenary alexia queen of the damned.png (100) | portrait mercenary alexia mistress of the witchfire.png (67) | portrait minions agata queen of carnage.png (64),"'portrait mercenary alexia queen of the damned.png' → 'Alexia, Queen of the Damned.png'  (score 100)"
"Eilish Garrity, the Dark Traitor",COPIED,portrait mercenary eilish garrity the dark traitor.png,"Eilish Garrity, the Dark Traitor.png",100,portrait mercenary eilish garrity the dark traitor.png (100) | portrait infernals eilish garrity the dark seeker.png (85) | portrait mercenary eilish garrity the occultist.png (73),"'portrait mercenary eilish garrity the dark traitor.png' → 'Eilish Garrity, the Dark Traitor.png'  (score 100)"
"Eiryss, Shadow of Retribution",COPIED,portrait mercenary eiryss shadow of retribution.png,"Eiryss, Shadow of Retribution.png",100,portrait mercenary eiryss shadow of retribution.png (100) | portrait mercenary eiryss angel of retribution.png (86) | portrait retribution eiryss mage hunter commander.png (78),"'portrait mercenary eiryss shadow of retribution.png' → 'Eiryss, Shadow of Retribution.png'  (score 100)"
"Krueger, Wrath of Blighterghast",COPIED,portrait mercenary krueger wrath of blighterghast.png,"Krueger, Wrath of Blighterghast.png",100,portrait mercenary krueger wrath of blighterghast.png (100) | portrait legion kallus wrath of everblight.png (64) | portrait protectorate servath reznik wrath of ages.png (61),"'portrait mercenary krueger wrath of blighterghast.png' → 'Krueger, Wrath of Blighterghast.png'  (score 100)"
Sky Bomber,COPIED,portrait mercenary sky bomber.png,Sky Bomber.png,100,portrait mercenary sky bomber.png (100) | portrait trollblood dire troll bomber.png (82) | option cygnar stryker right arm electro bombard.png (67),'portrait mercenary sky bomber.png' → 'Sky Bomber.png'  (score 100)
Sky Raider,COPIED,portrait mercenary sky raider.png,Sky Raider.png,100,portrait mercenary sky raider.png (100) | portrait skorne cyclops raider.png (89) | portrait cryx satyxis raiders.png (84),'portrait mercenary sky raider.png' → 'Sky Raider.png'  (score 100)
Captain E. Dominic Darius,COPIED,portrait cygnar captain e dominic darius.png,Captain E. Dominic Darius.png,100,portrait cygnar captain e dominic darius.png (100) | portrait cygnar captain athena di baro.png (64) | portrait cygnar captain madison calder.png (60),'portrait cygnar captain e dominic darius.png' → 'Captain E. Dominic Darius.png'  (score 100)
Captain Jeremiah Kraye,COPIED,portrait cygnar captain jeremiah kraye.png,Captain Jeremiah Kraye.png,100,portrait cygnar captain jeremiah kraye.png (100) | portrait crucible captain eira mackay.png (73) | portrait cryx captain rengrave.png (68),'portrait cygnar captain jeremiah kraye.png' → 'Captain Jeremiah Kraye.png'  (score 100)
"Colonel Markus ""Siege"" Brisbane",COPIED,portrait cygnar colonel markus siege brisbane.png,Colonel Markus Siege Brisbane.png,100,portrait cygnar colonel markus siege brisbane.png (100) | portrait cygnar major markus siege brisbane.png (84) | CG_Apollo.png (62),'portrait cygnar colonel markus siege brisbane.png' → 'Colonel Markus Siege Brisbane.png'  (score 100)
Lieutenant Allister Caine,COPIED,portrait cygnar journeyman lieutenant allister caine.png,Lieutenant Allister Caine.png,100,portrait cygnar journeyman lieutenant allister caine.png (100) | portrait cygnar lieutenant allister caine.png (100) | Khador_Allister-Caine.png (83),'portrait cygnar journeyman lieutenant allister caine.png' → 'Lieutenant Allister Caine.png'  (score 100)
Ace,COPIED,option khador great bear right arm battle mace.png,Ace.png,100,option khador great bear right arm battle mace.png (100) | option orgoth jackal right arm mace.png (100) | option orgoth molok right arm abyssal mace.png (100),'option khador great bear right arm battle mace.png' → 'Ace.png'  (score 100)
Centurion,COPIED,portrait cygnar centurion.png,Centurion.png,100,portrait cygnar centurion.png (100) | portrait convergence forge master syntherion.png (71) | portrait retribution hyperion.png (71),'portrait cygnar centurion.png' → 'Centurion.png'  (score 100)
Charger,COPIED,portrait cygnar charger.png,Charger.png,100,portrait cygnar charger.png (100) | option cygnar stryker head relentless charge.png (92) | option orgoth tyrant head relentless charge.png (92),'portrait cygnar charger.png' → 'Charger.png'  (score 100)
Cyclone,COPIED,portrait cygnar cyclone.png,Cyclone.png,100,portrait cygnar cyclone.png (100) | portrait cryx agrimony crone of the dying strands.png (71) | portrait cygnar colonel markus siege brisbane.png (71),'portrait cygnar cyclone.png' → 'Cyclone.png'  (score 100)
Defender,COPIED,portrait cygnar defender.png,Defender.png,100,portrait cygnar defender.png (100) | portrait retribution ryssovass defenders.png (100) | portrait trollblood madrak ironhide world ender.png (80),'portrait cygnar defender.png' → 'Defender.png'  (score 100)
Grenadier,COPIED,portrait cygnar grenadier.png,Grenadier.png,100,portrait cygnar grenadier.png (100) | portrait cygnar stormsmith grenadiers.png (100) | portrait cygnar trencher infantry rifle grenadier.png (100),'portrait cygnar grenadier.png' → 'Grenadier.png'  (score 100)
Hammersmith,COPIED,portrait cygnar hammersmith.png,Hammersmith.png,100,portrait cygnar hammersmith.png (100) | portrait protectorate deliverer skyhammers.png (78) | option cygnar stryker right arm voltaic hammer.png (71),'portrait cygnar hammersmith.png' → 'Hammersmith.png'  (score 100)
Hurricane,COPIED,portrait cygnar hurricane.png,Hurricane.png,100,portrait cygnar hurricane.png (100) | portrait minions bone shrine.png (71) | portrait cygnar arcane mechanik.png (67),'portrait cygnar hurricane.png' → 'Hurricane.png'  (score 100)
Hunter,COPIED,Khador_Liegemen-Hunters2.png,Hunter.png,100,Khador_Liegemen-Hunters2.png (100) | option khymaera vypex tail hunters mark.png (100) | option orgoth jackal right arm hunter rifle.png (100),'Khador_Liegemen-Hunters2.png' → 'Hunter.png'  (score 100)
Ironclad,COPIED,portrait cygnar ironclad.png,Ironclad.png,100,portrait cygnar ironclad.png (100) | Merc_Iconoclast-Drudge.png (75) | Merc_Iconoclast-Drudges.png (75),'portrait cygnar ironclad.png' → 'Ironclad.png'  (score 100)
Lancer,COPIED,portrait cygnar lancer.png,Lancer.png,100,portrait cygnar lancer.png (100) | portrait crucible trancer.png (91) | Khador_Avalanche.png (83),'portrait cygnar lancer.png' → 'Lancer.png'  (score 100)
Minuteman,COPIED,portrait cygnar minuteman.png,Minuteman.png,100,portrait cygnar minuteman.png (100) | portrait circle tharn ravager white mane.png (71) | Cryx_Skarlock-Lieutenant.png (67),'portrait cygnar minuteman.png' → 'Minuteman.png'  (score 100)
Sentinel,COPIED,portrait cygnar sentinel.png,Sentinel.png,100,portrait cygnar sentinel.png (100) | portrait infernals dark sentinel.png (100) | portrait retribution dawnguard sentinel officer & standard.png (100),'portrait cygnar sentinel.png' → 'Sentinel.png'  (score 100)
Stormwall,COPIED,portrait cygnar stormwall.png,Stormwall.png,100,portrait cygnar stormwall.png (100) | portrait cygnar stormsmith stormcaller.png (89) | portrait retribution stormfall archers.png (89),'portrait cygnar stormwall.png' → 'Stormwall.png'  (score 100)
Triumph,COPIED,portrait cygnar triumph.png,Triumph.png,100,portrait cygnar triumph.png (100) | portrait trollblood muggs & krump.png (73) | CG_Triumvirate1-Rosalind.png (71),'portrait cygnar triumph.png' → 'Triumph.png'  (score 100)
Trencher Blockhouse,COPIED,portrait cygnar trencher blockhouse.png,Trencher Blockhouse.png,100,portrait cygnar trencher blockhouse.png (100) | portrait cygnar trench buster.png (69) | portrait cygnar trencher long gunner officer.png (68),'portrait cygnar trencher blockhouse.png' → 'Trencher Blockhouse.png'  (score 100)
Captain Jonas Murdoch,COPIED,portrait cygnar captain jonas murdoch.png,Captain Jonas Murdoch.png,100,portrait cygnar captain jonas murdoch.png (100) | portrait mercenary captain sam machorne & the devil dogs.png (62) | portrait mercenary captain damiano.png (61),'portrait cygnar captain jonas murdoch.png' → 'Captain Jonas Murdoch.png'  (score 100)
Captain Maxwell Finn,COPIED,portrait cygnar captain maxwell finn.png,Captain Maxwell Finn.png,100,portrait cygnar captain maxwell finn.png (100) | portrait cygnar captain karli.png (67) | portrait cygnar captain allison jakes.png (65),'portrait cygnar captain maxwell finn.png' → 'Captain Maxwell Finn.png'  (score 100)
Commander Anson Hitch,COPIED,portrait cygnar commander anson hitch.png,Commander Anson Hitch.png,100,portrait cygnar commander anson hitch.png (100) | portrait khador forward kommander sorscha.png (70) | portrait khador kommander sorscha.png (70),'portrait cygnar commander anson hitch.png' → 'Commander Anson Hitch.png'  (score 100)
Major Harrison Gibbs,COPIED,portrait mercenary major harrison gibbs.png,Major Harrison Gibbs.png,100,portrait mercenary major harrison gibbs.png (100) | Khador_Shearlings.png (62) | portrait cygnar major markus siege brisbane.png (60),'portrait mercenary major harrison gibbs.png' → 'Major Harrison Gibbs.png'  (score 100)
Patrol Dog,COPIED,portrait cygnar patrol dog.png,Patrol Dog.png,100,portrait cygnar patrol dog.png (100) | portrait khador war dog.png (75) | portrait khador mad dog.png (62),'portrait cygnar patrol dog.png' → 'Patrol Dog.png'  (score 100)
Squire,COPIED,portrait cygnar squire.png,Squire.png,100,portrait cygnar squire.png (100) | portrait cryx warwitch siren.png (73) | portrait retribution siren.png (73),'portrait cygnar squire.png' → 'Squire.png'  (score 100)
Trench Buster,COPIED,portrait cygnar trench buster.png,Trench Buster.png,100,portrait cygnar trench buster.png (100) | portrait convergence obstructors.png (69) | portrait cygnar trencher express team.png (69),'portrait cygnar trench buster.png' → 'Trench Buster.png'  (score 100)
Trencher Master Gunner,COPIED,portrait cygnar trencher master gunner.png,Trencher Master Gunner.png,100,portrait cygnar trencher master gunner.png (100) | portrait mercenary master gunner dougal macnaile.png (82) | portrait cygnar trencher long gunner officer.png (81),'portrait cygnar trencher master gunner.png' → 'Trencher Master Gunner.png'  (score 100)
Trencher Sniper,COPIED,portrait cygnar trencher infantry officer & sniper.png,Trencher Sniper.png,100,portrait cygnar trencher infantry officer & sniper.png (100) | portrait cygnar trencher master gunner.png (80) | portrait cygnar trencher express team.png (73),'portrait cygnar trencher infantry officer & sniper.png' → 'Trencher Sniper.png'  (score 100)
Trencher Warcaster Lieutenant,COPIED,portrait cygnar trencher warcaster lieutenant.png,Trencher Warcaster Lieutenant.png,100,portrait cygnar trencher warcaster lieutenant.png (100) | portrait cygnar trencher master gunner.png (71) | Cryx_Skarlock-Lieutenant.png (70),'portrait cygnar trencher warcaster lieutenant.png' → 'Trencher Warcaster Lieutenant.png'  (score 100)
Rangers,COPIED,portrait cygnar rangers.png,Rangers.png,100,portrait cygnar rangers.png (100) | portrait-cygnar-Rangers.png (100) | portrait dusk mage hunter ranger.png (92),'portrait cygnar rangers.png' → 'Rangers.png'  (score 100)
